calc_id,boundary_condition_NZ,boundary_condition_X,boundary_condition_Y,boundary_condition_NX,boundary_condition_NY,boundary_condition_Z,load_time,rock_young_constant,rock_alpha_constant,concrete_init_temp,concrete_cheat,concrete_dt,concrete_norm_coeff,concrete_young_constant,concrete_alpha_constant,concrete_strength_time,steel_init_temp,bentonite_init_temp,bentonite_cheat,bentonite_dt,bentonite_young_constant,bentonite_alpha_constant,rw_init_temp,rw_cheat,rw_dt,rw_young_constant,rw_alpha_constant,rw_norm_coeff
7119,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,6.5857421875e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7120,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,22.87109375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7121,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,1989.66796875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7122,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.085390625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7123,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,1.0549804687500002,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7124,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,9689453125.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7125,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,1.115009765625e-05,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7126,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2466281.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7127,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,33.439453125,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7128,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,35.9765625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7129,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,940.80078125,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7130,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.1685546875,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7131,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5065429687.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7132,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,6.7224609375e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7133,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,45.6484375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7134,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,644.53125,2.18765625,8134765625.0,5.2783203125e-06,1.0686523437500002
7135,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.5720312499999998,8134765625.0,5.2783203125e-06,1.0686523437500002
7136,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,9455078125.0,5.2783203125e-06,1.0686523437500002
7137,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.6337890625e-06,1.0686523437500002
7138,2272207031.25,9053964843.75,9509843750.0,7538378906.25,8464843750.0,1802402343.75,3.052197265625,45660742187.5,5.7681640625000006e-06,19.40234375,2432.63671875,1.389140625,0.9530273437500001,10900390625.0,9.72685546875e-06,2500031.25,30.087890625,44.2265625,1070.56640625,1.0212890625,5901367187.5,7.463476562499999e-06,36.3984375,897.34375,2.18765625,8134765625.0,5.2783203125e-06,1.06513671875
